"Nikto - v2.5.0/"
"10.0.4.7","10.0.4.7","80","","","","GoAhead-Webs"
"10.0.4.7","10.0.4.7","80","https://www.netsparker.com/web-vulnerability-scanner/vulnerabilities/missing-content-type-header/","GET","/","The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type."
"10.0.4.7","10.0.4.7","80","","GET","/","GoAhead-Webs - This may be a Cyclade, http://www.cyclades.com/."
"10.0.4.5","10.0.4.5","80","","","","GoAhead-Webs"
"10.0.4.5","10.0.4.5","80","https://www.netsparker.com/web-vulnerability-scanner/vulnerabilities/missing-content-type-header/","GET","/","The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type."
"10.0.4.5","10.0.4.5","80","","GET","/","GoAhead-Webs - This may be a Cyclade, http://www.cyclades.com/."
"10.0.4.1","10.0.4.1","80","","","",""
"10.0.4.1","10.0.4.1","80","https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Frame-Options","GET","/","The anti-clickjacking X-Frame-Options header is not present."
"10.0.4.1","10.0.4.1","80","https://www.netsparker.com/web-vulnerability-scanner/vulnerabilities/missing-content-type-header/","GET","/","The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type."
"10.0.4.6","10.0.4.6","80","","","","GoAhead-Webs"
"10.0.4.6","10.0.4.6","80","https://www.netsparker.com/web-vulnerability-scanner/vulnerabilities/missing-content-type-header/","GET","/","The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type."
"10.0.4.6","10.0.4.6","80","","GET","/","GoAhead-Webs - This may be a Cyclade, http://www.cyclades.com/."
"10.0.4.126","10.0.4.126","80","","","","Apache/2.4.52 (Ubuntu)"
"10.0.4.126","10.0.4.126","80","https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Frame-Options","GET","/","The anti-clickjacking X-Frame-Options header is not present."
"10.0.4.126","10.0.4.126","80","https://www.netsparker.com/web-vulnerability-scanner/vulnerabilities/missing-content-type-header/","GET","/","The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type."
"10.0.4.126","10.0.4.126","80","CVE-2003-1418","GET","/","Server may leak inodes via ETags, header found with file /, inode: 29af, size: 5ec95cea9cfd4, mtime: gzip."
